L_in_N, C_L, phi, psi, u, r
3418.839074323572, 0.3418839074323572, 0.0, 0.05, 5.1119125042852565, 1.9056964116678532
3521.4692351281606, 0.35214692351281607, 0.0011965936760132505, 0.05, 5.1119125042852565, 1.9056964116678532
4974.545736087176, 0.4974545736087176, 0.017098838673599973, 0.05, 5.1119125042852565, 1.9056964116678532
5018.898456104442, 0.5018898456104441, 0.017557642015067276, 0.05, 5.1119125042852565, 1.9056964116678532
5020.1426556149645, 0.5020142655614964, 0.017570492520243217, 0.05, 5.1119125042852565, 1.9056964116678532
